,false_positive_rate,true_positive_rate,thresholds
112,0.07197886858903808,0.09090909090909091,0.10339690321269988
113,0.07263922518159806,0.09090909090909091,0.10339425240800941
114,0.0735197006383447,0.09090909090909091,0.10339377104904633
115,0.07395993836671803,0.09090909090909091,0.1033925478984593
116,0.07484041382346467,0.09090909090909091,0.10339001324991505
117,0.07572088928021131,0.09090909090909091,0.10338832343914105
118,0.07594100814439797,0.09090909090909091,0.10338731695335882
119,0.07682148360114462,0.09090909090909091,0.10338591303463818
120,0.07704160246533127,0.09090909090909091,0.10338586196641245
121,0.0774818401937046,0.09090909090909091,0.10338515339985928
122,0.07770195905789126,0.09090909090909091,0.10338507736720397
123,0.07814219678626458,0.09090909090909091,0.1033842232831512
124,0.07836231565045125,0.09090909090909091,0.10338365836021902
125,0.07880255337882457,0.09090909090909091,0.1033825915436488
