Feature,Type,Value,Score,upper,lower,Category
Srpe_7d_robust,Numerical,0.7903993855606755,0.001888560643941032,0.002508987653962179,0.0012681336339198852,
Srpe_7d_robust,Numerical,1.0743041177823751,0.0017045862763446957,0.002327286188436254,0.0010818863642531376,
Srpe_7d_robust,Numerical,1.5781939695890852,0.0012698585387776462,0.0019499310285228753,0.0005897860490324171,
Srpe_7d_robust,Numerical,8.48062015503876,0.0012698585387776462,0.0019499310285228753,0.0005897860490324171,
Pos_code,Categorical,,-0.0023199238402251037,-0.0013060496323386572,-0.00333379804811155,0
Pos_code,Categorical,,0.000312693739946468,0.0006996343959813089,-7.424691608837289e-05,1
Pos_code,Categorical,,-0.0010037379008569864,-0.0005851061225188006,-0.0014223696791951723,2
Pos_code,Categorical,,0.0036244398728908127,0.004459632258340989,0.0027892474874406364,3
Sprint_30,Numerical,3.8,-0.0015360746591308407,-0.00041488629311669644,-0.002657263025144985,
Sprint_30,Numerical,3.915,-0.001818520758833218,-0.0010764843820643085,-0.0025605571356021274,
Sprint_30,Numerical,3.925,-0.0012440223444407834,-0.0006174422200731213,-0.0018706024688084455,
Sprint_30,Numerical,3.9450000000000003,-0.0009654064395220782,-0.00041422993866770434,-0.0015165829403764519,
Sprint_30,Numerical,3.975,-0.000861318587019951,-0.0004546500621761188,-0.0012679871118637831,
Sprint_30,Numerical,3.9850000000000003,-0.0004590791567179083,-0.00011201862624818864,-0.000806139687187628,
Sprint_30,Numerical,3.995,0.0002680787712476077,0.0006256010379373023,-8.944349544208696e-05,
Sprint_30,Numerical,4.025,0.00010053983992118024,0.00043714941237593533,-0.00023606973253357483,
Sprint_30,Numerical,4.055,0.00015131441096915185,0.0005572543643821727,-0.0002546255424438691,
Sprint_30,Numerical,4.075,0.00015608033011338393,0.0006010201886180551,-0.00028885952839128714,
Sprint_30,Numerical,4.085,0.00022673806373215333,0.0007851879524029801,-0.0003317118249386734,
Sprint_30,Numerical,4.13,0.00032096711269232375,0.0008639473619941925,-0.00022201313660954498,
Sprint_30,Numerical,4.145,0.0003783806167715527,0.0008985874105373905,-0.00014182617699428512,
Sprint_30,Numerical,4.155,0.0008139833707936454,0.001447683145433544,0.00018028359615374675,
Sprint_30,Numerical,4.1850000000000005,0.0008704118439981645,0.001580604031200201,0.00016021965679612787,
Sprint_30,Numerical,4.205,0.0008521830032116781,0.0014934366657826815,0.00021092934064067463,
Sprint_30,Numerical,4.245,0.0016431410014387247,0.0023626729303275413,0.0009236090725499083,
Sprint_30,Numerical,4.325,0.0018229383671007628,0.0026649141788641258,0.0009809625553374,
Sprint_30,Numerical,5.62,0.0018229383671007628,0.0026649141788641258,0.0009809625553374,
